,word,tag,level_freq@a1,level_freq@a2,level_freq@b1,level_freq@b2,level_freq@c1,total_freq@total,nb_doc@a1,nb_doc@a2,nb_doc@b1,nb_doc@b2,nb_doc@c1,nb_doc@total
0,'50s,NN,0.0,0.5559,1.6375,0.0,0.8152,1.2813,0.0,1.0,1.0,0.0,1.0,3.0
1,'60s,NN,0.0,1.1119,0.0,0.0,0.8152,0.874,0.0,1.0,0.0,0.0,1.0,2.0
2,'70s,NN,0.0,1.1119,0.0,0.0,0.0,0.1625,0.0,1.0,0.0,0.0,0.0,1.0
3,'80s,NN,0.0,1.1119,0.0,0.0,0.0,0.1625,0.0,2.0,0.0,0.0,0.0,2.0
4,'90s,NN,0.0,0.5559,0.0,0.0,0.0,0.0812,0.0,1.0,0.0,0.0,0.0,1.0
5,-hour_day,NN,0.0,0.0,0.0,0.0,0.6091,0.0803,0.0,0.0,0.0,0.0,1.0,1.0
6,-hour_flight,NN,0.0,0.0,0.0,0.8294,1.0665,0.7336,0.0,0.0,0.0,1.0,1.0,2.0
7,-hour_journey,NN,0.0,0.3436,0.0,0.0,0.0,0.0252,0.0,1.0,0.0,0.0,0.0,1.0
8,-hour_supermarket,NN,2.9398,0.0,0.0,0.0,0.0,0.2268,1.0,0.0,0.0,0.0,0.0,1.0
9,-mile_flight,NN,0.0,0.2873,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,0.0,0.0,1.0
10,-o'clock_bell,NN,0.0,0.0,0.0,0.8294,0.0,0.2268,0.0,0.0,0.0,1.0,0.0,1.0
11,-o'clock_bus,NN,0.0,0.0,0.0,0.6729,0.0,0.0572,0.0,0.0,0.0,1.0,0.0,1.0
12,-o'clock_news,NN,0.0,0.0,0.0,0.6729,0.9605,0.6741,0.0,0.0,0.0,1.0,1.0,2.0
13,-o'clock_train,NN,0.0,0.0,0.0,0.7308,0.0,0.0621,0.0,0.0,0.0,1.0,0.0,1.0
14,-piece_group,NN,0.0,0.0,1.6375,0.0,0.0,0.2268,0.0,0.0,1.0,0.0,0.0,1.0
