,word,pos,cefr
0,absorb,verb,B2
1,abstract,adjective,B2
2,accent,noun,B2
3,accidentally,adverb,B2
4,accommodate,verb,B2
5,accomplish,verb,B2
6,accountant,noun,B2
7,accuracy,noun,B2
8,accurately,adverb,B2
9,acid,noun,B2
10,activate,verb,B2
11,addiction,noun,B2
12,additionally,adverb,B2
13,adequate,adjective,B2
14,adequately,adverb,B2
15,adjust,verb,B2
16,affordable,adjective,B2
17,agriculture,noun,B2
18,AIDS,noun,B2
19,alien,noun,B2
20,alongside,preposition,B2
21,altogether,adverb,B2
22,ambulance,noun,B2
23,amusing,adjective,B2
24,analyst,noun,B2
25,ancestor,noun,B2
26,animation,noun,B2
27,annually,adverb,B2
28,anticipate,verb,B2
29,anxiety,noun,B2
30,apology,noun,B2
31,applicant,noun,B2
32,appropriately,adverb,B2
33,arrow,noun,B2
34,artwork,noun,B2
35,aside,adverb,B2
36,asset,noun,B2
37,assign,verb,B2
38,assistance,noun,B2
39,assumption,noun,B2
40,assure,verb,B2
41,astonishing,adjective,B2
42,attachment,noun,B2
43,auction,noun,B2
44,audio,adjective,B2
45,automatic,adjective,B2
46,automatically,adverb,B2
47,awareness,noun,B2
48,awkward,adjective,B2
49,badge,noun,B2
50,balanced,adjective,B2
51,ballet,noun,B2
52,balloon,noun,B2
53,barely,adverb,B2
54,bargain,noun,B2
55,basement,noun,B2
56,basket,noun,B2
57,bat,noun,B2
58,beneficial,adjective,B2
59,beside,preposition,B2
60,bias,noun,B2
61,biological,adjective,B2
62,blanket,noun,B2
63,blow,noun,B2
64,bold,adjective,B2
65,bombing,noun,B2
66,booking,noun,B2
67,bound,adjective,B2
68,brick,noun,B2
69,briefly,adverb,B2
70,broadcaster,noun,B2
71,broadly,adverb,B2
72,bug,noun,B2
73,cabin,noun,B2
74,canal,noun,B2
75,candle,noun,B2
76,carbon,noun,B2
77,casual,adjective,B2
78,cave,noun,B2
79,certainty,noun,B2
80,certificate,noun,B2
81,challenging,adjective,B2
82,championship,noun,B2
83,charming,adjective,B2
84,cheek,noun,B2
85,choir,noun,B2
86,chop,verb,B2
87,circuit,noun,B2
88,civilization,noun,B2
89,clarify,verb,B2
90,classify,verb,B2
91,clerk,noun,B2
92,cliff,noun,B2
93,clinic,noun,B2
94,clip,noun,B2
95,coincidence,noun,B2
96,collector,noun,B2
97,colony,noun,B2
98,colourful,adjective,B2
99,commander,noun,B2
100,comparative,adjective,B2
101,completion,noun,B2
102,compose,verb,B2
103,composer,noun,B2
104,compound,noun,B2
105,comprehensive,adjective,B2
106,comprise,verb,B2
107,compulsory,adjective,B2
108,confess,verb,B2
109,confusion,noun,B2
